Organization,AwardYear,AWARD_SUM,AWARD_COUNT,AverageAwardDuration,Award Total
Colorado State University,2012,11592315,41,2.926829268,11.592315
Colorado State University,2011,19501636,45,3,19.501636
Colorado State University,2010,25936145,64,2.984375,25.936145
Colorado State University,2009,30001446,76,3.171052632,30.001446
Colorado State University,2008,26957045,40,3.4,26.957045
Colorado State University,2007,17990587,46,3.717391304,17.990587
Colorado State University,2006,48631436,42,3.785714286,48.631436
Colorado State University,2005,15430145,46,3.239130435,15.430145
Colorado State University,2004,15407506,46,3.108695652,15.407506
Colorado State University,2003,52819462,46,3.652173913,52.819462
Colorado State University,2002,21083928,41,3.487804878,21.083928
Colorado State University,2001,24420521,50,3.42,24.420521
Iowa State University,2012,16738011,65,2.8,16.738011
Iowa State University,2011,28476330,61,2.868852459,28.47633
Iowa State University,2010,29119540,72,3.180555556,29.11954
Iowa State University,2009,35865216,79,3.316455696,35.865216
Iowa State University,2008,39312329,59,3.593220339,39.312329
Iowa State University,2007,14145281,44,3.590909091,14.145281
Iowa State University,2006,22620733,53,4.075471698,22.620733
Iowa State University,2005,28102495,57,3.719298246,28.102495
Iowa State University,2004,18479330,57,3.50877193,18.47933
Iowa State University,2003,23402109,74,3.513513514,23.402109
Iowa State University,2002,20687478,65,3.630769231,20.687478
Iowa State University,2001,22841170,66,3.075757576,22.84117
Kansas State University,2012,8839116,23,2.695652174,8.839116
Kansas State University,2011,8375445,29,2.931034483,8.375445
Kansas State University,2010,12892135,27,3.296296296,12.892135
Kansas State University,2009,12324482,26,3,12.324482
Kansas State University,2008,13026957,25,3.36,13.026957
Kansas State University,2007,4295195,17,3.117647059,4.295195
Kansas State University,2006,7401595,24,3.791666667,7.401595
Kansas State University,2005,10320776,35,3.314285714,10.320776
Kansas State University,2004,7929921,19,3.789473684,7.929921
Kansas State University,2003,7891970,22,3.136363636,7.89197
Kansas State University,2002,11996245,28,3.392857143,11.996245
Kansas State University,2001,7680499,29,3.24137931,7.680499
Michigan State University,2012,17351663,58,2.948275862,17.351663
Michigan State University,2011,55492870,89,3.08988764,55.49287
Michigan State University,2010,48226201,90,3,48.226201
Michigan State University,2009,48336631,108,3.398148148,48.336631
Michigan State University,2008,32206428,91,3.43956044,32.206428
Michigan State University,2007,41099688,91,3.736263736,41.099688
Michigan State University,2006,128226517,68,3.308823529,128.226517
Michigan State University,2005,39496414,87,3.75862069,39.496414
Michigan State University,2004,30138908,68,3.470588235,30.138908
Michigan State University,2003,65931295,81,3.814814815,65.931295
Michigan State University,2002,28895201,67,3.582089552,28.895201
Michigan State University,2001,108207941,78,3.512820513,108.207941
North Carolina State University,2012,31440526,91,2.879120879,31.440526
North Carolina State University,2011,30047487,85,2.823529412,30.047487
North Carolina State University,2010,42999142,104,3.048076923,42.999142
North Carolina State University,2009,42132802,96,3.427083333,42.132802
North Carolina State University,2008,45732127,88,3.329545455,45.732127
North Carolina State University,2007,30999659,76,3.684210526,30.999659
North Carolina State University,2006,25228523,72,3.652777778,25.228523
North Carolina State University,2005,18624202,59,3.254237288,18.624202
North Carolina State University,2004,45865137,87,4.24137931,45.865137
North Carolina State University,2003,32132784,98,3.653061224,32.132784
North Carolina State University,2002,14577942,62,3.629032258,14.577942
North Carolina State University,2001,28185012,72,3.638888889,28.185012
Oklahoma State University,2012,5331516,21,2.666666667,5.331516
Oklahoma State University,2011,6451830,20,2.9,6.45183
Oklahoma State University,2010,3547685,18,2.277777778,3.547685
Oklahoma State University,2009,12117404,32,3.28125,12.117404
Oklahoma State University,2008,17427826,21,3.333333333,17.427826
Oklahoma State University,2007,6598219,22,3.636363636,6.598219
Oklahoma State University,2006,3428937,16,2.875,3.428937
Oklahoma State University,2005,13729263,19,3.684210526,13.729263
Oklahoma State University,2004,8990958,13,3.692307692,8.990958
Oklahoma State University,2003,2753655,13,3,2.753655
Oklahoma State University,2002,12781399,16,4.0625,12.781399
Oklahoma State University,2001,6109189,19,3.631578947,6.109189
Oregon State University,2012,23180107,86,2.720930233,23.180107
Oregon State University,2011,31435386,71,2.746478873,31.435386
Oregon State University,2010,33312756,82,2.975609756,33.312756
Oregon State University,2009,33374748,87,3.183908046,33.374748
Oregon State University,2008,27437548,60,3.816666667,27.437548
Oregon State University,2007,28351495,73,3.602739726,28.351495
Oregon State University,2006,28117875,71,3.718309859,28.117875
Oregon State University,2005,34012860,66,3.696969697,34.01286
Oregon State University,2004,25253550,62,3.725806452,25.25355
Oregon State University,2003,34991888,73,3.767123288,34.991888
Oregon State University,2002,29278355,49,3.530612245,29.278355
Oregon State University,2001,28522558,58,3.775862069,28.522558
Purdue University,2012,33991966,121,2.859504132,33.991966
Purdue University,2011,32952375,109,2.899082569,32.952375
