Organization,AwardYear,AWARD_SUM,AWARD_COUNT,AverageAwardDuration,Award Total
3DGEO DEVELOPMENT INC,2005,2162000,2,4,2.162
3DGEO DEVELOPMENT INC,2004,200000,2,0,
"3F, LLC",2008,365625,2,1,
"4WIND SCIENCE AND ENGINEERING, LLC.",2010,328503,2,0.5,
Abilene Christian University,2011,131267,2,2.5,
ABIRAM                  PNINA          G,2005,145000,2,1.5,
Abraham Baldwin Agricultural College,2010,804435,2,4,
Abrams                  Daniel         M,2006,108001,2,2.5,
Absorbent Materials Company LLC,2011,659182,2,1,
Absorbent Materials Company LLC,2010,349850,2,0.5,
Academy for Educational Development,2004,1249849,3,3,
Academy of Natural Sciences Philadelphia,2012,405523,2,3,
Academy of Natural Sciences Philadelphia,2010,1723762,4,3.75,
Academy of Natural Sciences Philadelphia,2008,931893,2,4,
Academy of Natural Sciences Philadelphia,2006,1047869,5,3.6,
Academy of Natural Sciences Philadelphia,2005,749970,2,4.5,
Academy of Natural Sciences Philadelphia,2004,425996,2,2.5,
Academy of Natural Sciences Philadelphia,2003,665145,2,4,
Academy of Natural Sciences Philadelphia,2002,1110859,4,3.25,
Academy of Natural Sciences Philadelphia,2001,1831099,10,2.9,
AccuStrata Incorporated,2010,467016,2,1,
ACQUISITION SERVICES DIRECTORATE NATIONAL BUSINESS CENTER,2012,2335006,4,1.5,
ACQUISITION SERVICES DIRECTORATE NATIONAL BUSINESS CENTER,2008,1231235,9,2.222222222,
Active Spectrum Inc.,2011,665977,2,1,
"ADA Technologies, Inc.",2009,1021996,2,2.5,
"ADA Technologies, Inc.",2008,249984,2,0,
"ADA Technologies, Inc.",2007,671977,2,1.5,
"Add-vision, Incorporated",2006,196217,2,0.5,
Adelphi University,2009,1194912,2,4,
"Adirondack Area Network, Inc",2006,233145,2,2.5,
Adler Planetarium,2012,547517,2,3,
Adler Planetarium,2010,2139553,2,2.5,
Adler Planetarium,2009,1896784,5,2.8,
"Administrative Resource Center, Treasury Franchise Services",2012,49522,2,1,
"Administrative Resource Center, Treasury Franchise Services",2007,1523819,3,1.333333333,
"Administrative Resource Center, Treasury Franchise Services",2006,836339,2,1.5,
Advanced Ceramics Manufacturing,2006,199896,2,0,
"ADVANCED CERAMICS RESEARCH, INC",2005,861880,3,1,
"Advanced Cooling Technologies, Inc.",2011,634138,2,1,
"Advanced Cooling Technologies, Inc.",2010,601156,2,1,
ADVANCED DIAMOND TECHNOLOGIES,2010,349575,3,0.333333333,
ADVANCED DIAMOND TECHNOLOGIES,2009,249814,2,1,
ADVANCED DIAMOND TECHNOLOGIES,2007,374351,3,0.333333333,
"Advanced Fuel Research, Inc.",2007,199930,2,0,
"Advanced Fuel Research, Inc.",2001,599990,2,0.5,
ADVANCED MATERIALS & DEVICES INC,2009,850000,3,1.333333333,
ADVANCED MATERIALS & DEVICES INC,2008,630409,2,1,
ADVANCED MATERIALS & DEVICES INC,2005,200000,2,1,
"ADVANCED PHOTONIC CRYSTALS, LLC",2003,199910,2,0,
ADVANCED THERMAL TECHNOLOGIES,2008,917223,2,2.5,
ADVANCED THERMAL TECHNOLOGIES,2007,642677,2,1.5,
ADVANCED THERMAL TECHNOLOGIES,2006,199554,2,0.5,
"ADVR, INC",2007,249685,2,0.5,
"ADVR, INC",2004,871659,2,1,
"Aerius Photonics, LLC",2010,299688,2,1,
Aerodyne Research Inc,2002,1294092,4,1.25,
Aerodyne Research Inc,2001,200000,2,0,
Aerospace Corporation,2012,205000,3,4.333333333,
Aerospace Corporation,2010,319668,3,2.666666667,
Aerospace Corporation,2009,615000,2,3.5,
Aerospace Corporation,2006,525001,3,3.333333333,
Aerospace Corporation,2005,538409,2,4,
Aerospace Corporation,2004,106000,2,1.5,
Aerospace Corporation,2003,213000,2,3.5,
Aerospace Corporation,2002,751000,5,3.2,
AGENTASE LLC,2003,611942,2,1,
AGENTSHEETS INC,2003,200000,2,0,
AGILE MIND INC,2005,1120000,2,2,
Agiltron Incorporated,2011,987824,2,2,
Agiltron Incorporated,2009,249944,2,0.5,
Agiltron Incorporated,2008,199887,2,0,
Agnes Scott College,2012,397883,2,3,
Agnes Scott College,2009,277142,2,3,
Air Force Institute of Tech,2005,1467110,2,4.5,
"AIRAK, INC",2001,1024000,2,2,
Alabama A&M University,2012,4009614,5,3.2,
Alabama A&M University,2010,4253885,5,4,
Alabama A&M University,2009,4088919,6,3.666666667,
Alabama A&M University,2008,6222362,3,3,
Alabama A&M University,2007,2184954,4,4.75,
Alabama A&M University,2005,1277122,2,3.5,
Alabama A&M University,2004,5290099,3,3.333333333,
Alabama A&M University,2003,43103,3,1.666666667,
Alabama A&M University,2002,1143284,5,2.6,
Alabama Southern Community College,2002,553290,2,1.5,
Alabama State University,2012,1664756,3,4,
Alabama State University,2005,2768429,2,4,
Albany Medical College of Union University,2002,450000,2,1,
Albany Medical College of Union University,2001,421283,2,1.5,
"ALD NANOSOLUTIONS, INC.",2007,606211,2,1,
"ALD NANOSOLUTIONS, INC.",2006,748152,4,0.5,
"ALD NANOSOLUTIONS, INC.",2005,200000,2,1.5,
"ALD NANOSOLUTIONS, INC.",2004,669030,3,1.333333333,
Alfred University,2012,1061042,2,3,
Alfred University,2011,688954,2,3,
Alfred University,2009,225187,2,2,
Alfred University NY State College of Ceramics,2006,844145,3,4,
Alfred University NY State College of Ceramics,2004,192650,2,0.5,
Alfred University NY State College of Ceramics,2001,701936,3,4,
Algaen Corporation,2006,248589,2,1,
Algebra Project Inc,2006,3194347,2,3,
Allegheny College,2010,913477,3,3.333333333,
Allegheny College,2008,440701,3,3.666666667,
Allegheny College,2007,280361,2,3.5,
Allegheny College,2005,22500,2,1,
Allegheny College,2003,294322,2,4,
Allegheny College,2001,804696,3,3.666666667,
ALLIED TECHNOLOGY GROUP INC,2001,184454,8,0,
Alma College,2009,546574,2,4.5,
Alpha Universe LLC,2010,299971,2,0.5,
AlphaSniffer LLC,2006,195194,2,0,
American Academy of Arts and Sciences (AAAS),2012,100000,2,1,
American Association For Advancement Science,2012,2864320,3,2.666666667,
American Association For Advancement Science,2011,5113036,6,2,
American Association For Advancement Science,2010,9802427,6,2.333333333,
