Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-06-05,360.5,363.37,358.85,360.1,2566370.0,0.0,1.0,360.5,363.37,358.85,360.1,2566370.0
2018-06-04,358.97,363.3855,358.85,360.73,2949714.0,0.0,1.0,358.97,363.3855,358.85,360.73,2949714.0
2018-06-01,355.79,358.15,354.46,356.72,2657605.0,0.0,1.0,355.79,358.15,354.46,356.72,2657605.0
2018-05-31,356.83,356.83,351.62,352.16,4405178.0,0.0,1.0,356.83,356.83,351.62,352.16,4405178.0
2018-05-30,355.65,358.92,354.1025,358.19,2825188.0,0.0,1.0,355.65,358.92,354.1025,358.19,2825188.0
2018-05-29,357.71,360.97,350.66,352.48,4249593.0,0.0,1.0,357.71,360.97,350.66,352.48,4249593.0
2018-05-25,358.12,360.6,357.05,360.09,2463071.0,0.0,1.0,358.12,360.6,357.05,360.09,2463071.0
2018-05-24,358.45,360.66,354.37,359.0,3931699.0,0.0,1.0,358.45,360.66,354.37,359.0,3931699.0
2018-05-23,352.28,359.6,351.62,359.21,4497516.0,0.0,1.0,352.28,359.6,351.62,359.21,4497516.0
2018-05-22,364.0,364.85,354.52,355.02,5389360.0,0.0,1.0,364.0,364.85,354.52,355.02,5389360.0
2018-05-21,358.46,365.0,358.45,363.92,6785369.0,0.0,1.0,358.46,365.0,358.45,363.92,6785369.0
2018-05-18,345.6,352.05,345.19,351.23,4326487.0,0.0,1.0,345.6,352.05,345.19,351.23,4326487.0
2018-05-17,340.47,344.77,340.25,344.14,2476543.0,0.0,1.0,340.47,344.77,340.25,344.14,2476543.0
2018-05-16,342.0,343.56,340.3,340.97,2229523.0,0.0,1.0,342.0,343.56,340.3,340.97,2229523.0
2018-05-15,343.0,343.85,340.2647,342.12,3008755.0,0.0,1.0,343.0,343.85,340.2647,342.12,3008755.0
2018-05-14,344.0,347.74,343.89,344.59,2520162.0,0.0,1.0,344.0,347.74,343.89,344.59,2520162.0
2018-05-11,343.77,345.415,341.0515,342.46,2330793.0,0.0,1.0,343.77,345.415,341.0515,342.46,2330793.0
2018-05-10,343.99,348.57,342.41,344.07,3919172.0,1.71,1.0,343.99,348.57,342.41,344.07,3919172.0
2018-05-09,339.49,346.93,338.575,344.5,4344859.0,0.0,1.0,337.8111061946903,345.21431285788657,336.9006311816762,342.7963300364394,4344859.0
2018-05-08,339.77,341.939,336.61,338.37,4011448.0,0.0,1.0,338.0897214992192,340.2479950546591,334.9453487766789,336.69664497657476,4011448.0
2018-05-07,335.23,342.98,335.21,340.43,4192224.0,0.0,1.0,333.572173347215,341.2838469547111,333.5522722540344,338.74645757418017,4192224.0
2018-05-04,328.04,335.89,328.04,334.43,3654036.0,0.0,1.0,326.41773034877673,334.22890942217595,326.41773034877673,332.7761296199896,3654036.0
2018-05-03,322.97,332.6348,319.125,330.69,6381493.0,0.0,1.0,321.37280322748575,330.9898074960958,317.5468180635086,329.05462519521086,6381493.0
2018-05-02,329.5,330.71,323.98,324.19,3429011.0,0.0,1.0,327.87051015096307,329.0745262883915,322.3778084331078,322.58676991150446,3429011.0
2018-05-01,332.5,333.91,324.18,329.54,4311734.0,0.0,1.0,330.85567412805835,332.25870119729314,322.5768193649141,327.91031233732434,4311734.0
2018-04-30,341.17,342.58,333.4,333.56,3720210.0,0.0,1.0,339.4827980218637,340.8858250910984,331.7512233211869,331.910432066632,3720210.0
2018-04-27,341.25,342.92,337.77,340.88,3389413.0,0.0,1.0,339.5624023945862,341.2241436751692,336.09961218115563,339.19423217074444,3389413.0
2018-04-26,344.01,345.65,338.33,342.79,5271638.0,0.0,1.0,342.3087532535138,343.9406428943259,336.65684279021343,341.0947865694951,5271638.0
2018-04-25,338.12,344.91,330.5201,342.86,11019860.0,0.0,1.0,336.4478813118168,343.20430244664243,328.88556540864136,341.1644403956273,11019860.0
2018-04-24,343.17,347.67,323.28,329.06,7033008.0,0.0,1.0,341.4729073399272,345.9506533055701,321.6812701717855,327.4326861009891,7033008.0
2018-04-23,339.55,341.26,336.0,338.84,2764780.0,0.0,1.0,337.8708094742322,339.5723529411765,334.33836543466947,337.1643206663196,2764780.0
2018-04-20,340.73,341.3959,335.05,338.67,3038031.0,0.0,1.0,339.0449739718897,339.7075808693389,333.3930635085893,336.9951613742843,3038031.0
2018-04-19,340.19,342.41,337.5,340.64,3005820.0,0.0,1.0,338.50764445601254,340.71666579906304,335.8309474232171,338.9554190525768,3005820.0
2018-04-18,338.33,342.4,337.18,341.0,3116566.0,0.0,1.0,336.65684279021343,340.7067152524727,335.51252993232697,339.31363872982826,3116566.0
2018-04-17,334.73,339.74,333.65,336.72,3378951.0,0.0,1.0,333.07464601769914,338.05986985944827,331.9999869859448,335.05480478917235,3378951.0
2018-04-16,332.34,333.22,327.625,331.77,3900289.0,0.0,1.0,330.6964653826132,331.57211348256124,326.0047826652785,330.1292842269651,3900289.0
2018-04-13,338.99,339.67,326.6,329.28,4730972.0,0.0,1.0,337.3135788651744,337.990216033316,324.984851639771,327.6515981259761,4730972.0
2018-04-12,331.98,338.35,330.46,337.48,4318083.0,0.0,1.0,330.3382457053618,336.6767438833941,328.8257626236335,335.8110463300365,4318083.0
2018-04-11,331.6,337.57,326.31,327.36,4566253.0,0.0,1.0,329.96012493492975,335.90060124934934,324.6962857886518,325.7410931806351,4566253.0
2018-04-10,331.35,336.69,329.55,334.83,5616231.0,0.0,1.0,329.71136127017184,335.02495314940137,327.9202628839147,333.1741514836023,5616231.0
2018-04-09,332.25,334.88,322.05,322.48,4931728.0,0.0,1.0,330.6069104633004,333.2239042165539,320.4573529411765,320.88522644456015,4931728.0
2018-04-06,330.61,334.59,322.21,326.12,5711469.0,0.0,1.0,328.9750208224883,332.9353383654347,320.61656168662154,324.50722540343577,5711469.0
2018-04-05,330.59,338.9599,330.26,336.4,6188003.0,0.0,1.0,328.9551197293077,337.28362771993756,328.62675169182717,334.7363872982821,6188003.0
2018-04-04,312.3,327.81,311.88,327.44,8231479.0,0.0,1.0,310.7555700156169,326.1888677771994,310.33764705882356,325.82069755335766,8231479.0
2018-04-03,324.76,331.1,323.09,330.82,4781556.0,0.0,1.0,323.15395106715255,329.4625976054139,321.4922097865695,329.18398230088496,4781556.0
2018-04-02,325.2,329.9419,317.17,322.44,5024944.0,0.0,1.0,323.59177511712653,328.3102248047892,315.60148620510154,320.8454242581989,5024944.0
2018-03-29,323.38,330.48,322.0,327.88,3652078.0,0.0,1.0,321.78077563768875,328.8456637168142,320.4076002082249,326.25852160333164,3652078.0
2018-03-28,321.85,323.24,311.17,320.02,5634676.0,0.0,1.0,320.25834200937015,321.6414679854243,309.631158250911,318.437391983342,5634676.0
2018-03-27,331.51,334.88,319.0,321.12,5355543.0,0.0,1.0,329.87057001561686,333.2239042165539,317.42243623112967,319.531952108277,5355543.0
2018-03-26,330.48,331.9399,323.59,328.97,5392886.0,0.0,1.0,328.8456637168142,330.2983440135347,321.9897371160854,327.34313118167626,5392886.0
