Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
6/5/2018,190.44,192.38,189.7,191.94,4231073,0,1,190.44,192.38,189.7,191.94,4231073
6/4/2018,188.22,191.54,187.97,191.36,4101118,0,1,188.22,191.54,187.97,191.36,4101118
6/1/2018,187.21,188.83,186.52,187.35,3706013,0,1,187.21,188.83,186.52,187.35,3706013
5/31/2018,187.16,187.36,185.25,186.55,4839928,0,1,187.16,187.36,185.25,186.55,4839928
5/30/2018,184.83,187.8,184.01,187.09,3976000,1.03,1,184.83,187.8,184.01,187.09,3976000
5/29/2018,185.55,186.83,184.25,185,4725486,0,1,184.5340713,185.807063,183.2411891,183.9870827,4725486
5/25/2018,186.71,187.8302,186.05,186.85,2730401,0,1,185.6877201,186.8017867,185.0313337,185.8269535,2730401
5/24/2018,186.79,187.41,184.67,187.15,3941249,0,1,185.7672821,186.3838874,183.6588895,186.125311,3941249
5/23/2018,187.1,187.315,184.98,186.67,7387362,0,1,186.0755847,186.2894076,183.9671922,185.6479391,7387362
5/22/2018,190.06,190.78,186.5175,186.87,4585635,0,1,189.0193781,189.7354359,185.4962741,185.846844,4585635
5/21/2018,188.2,190.67,188,189.79,4147784,0,1,187.169562,189.6260382,186.970657,188.7508564,4147784
5/18/2018,185.75,188.21,185.55,187.42,4696173,0,1,184.7329763,187.1795072,184.5340713,186.3938327,4696173
5/17/2018,186.25,187.18,184.87,185.33,4227127,0,1,185.2302387,186.1551467,183.8577945,184.3152759,4227127
5/16/2018,189.28,189.28,185.9,186.38,5043211,0,1,188.2436487,188.2436487,184.882155,185.3595269,5043211
5/15/2018,189.5,189.69,186.101,187.98,10143621,0,1,188.4624442,188.6514039,185.0820545,186.9507665,10143621
5/14/2018,191.5,191.65,189.86,191.08,7021481,0,1,190.4514937,190.6006724,188.8204731,190.0337933,7021481
5/11/2018,187.63,190.8,187.35,190.31,5350002,0,1,186.6026829,189.7553264,186.3242159,189.2680092,5350002
5/10/2018,185.97,187.97,185.88,187.16,3849033,0,1,184.9517717,186.9408213,184.8622645,186.1352562,3849033
5/9/2018,185.03,186.5,183.57,186.36,3392251,0,1,184.0169185,185.4788699,182.5649123,185.3396364,3392251
5/8/2018,183.45,185.3,182.5,185.04,4168056,0,1,182.4455693,184.2854401,181.5007708,184.0268637,4168056
5/7/2018,185.4,185.5,182.67,183.56,3582327,0,1,184.3848926,184.4843451,181.66984,182.554967,3582327
5/4/2018,182.75,186.35,181.84,185.03,3895987,0,1,181.749402,185.3296912,180.8443844,184.0169185,3895987
5/3/2018,184.87,184.9,181.201,183.19,4123050,0,1,183.8577945,183.8876302,180.2088831,182.1869929,4123050
5/2/2018,184.49,187.12,183.75,185.91,3866459,0,1,183.4798751,186.0954752,182.7439267,184.8921003,3866459
5/1/2018,184.73,184.73,181.4,184.63,3423484,0,1,183.718561,183.718561,180.4067935,183.6191085,3423484
4/30/2018,186.99,187.8,184.8,184.8,4173175,0,1,185.966187,186.7717521,183.7881778,183.7881778,4173175
4/27/2018,185.49,187.0432,183.87,186.46,4382037,0,1,184.4743999,186.0190957,182.8632697,185.4390889,4382037
4/26/2018,178.46,185.93,178.08,185.72,8781190,0,1,177.4828907,184.9119908,177.1049713,184.7031405,8781190
4/25/2018,176.08,178.07,174.55,177.39,5586904,0,1,175.1159218,177.095026,173.5942989,176.4187492,5586904
4/24/2018,179.3,180,175.05,176.26,4434889,0,1,178.3182915,179.0144589,174.0915612,175.2949362,4434889
4/23/2018,177.62,178.38,176.13,177.66,2986384,0,1,176.6474899,177.4033287,175.165648,176.6872709,2986384
4/20/2018,177.85,178.89,176.32,177.01,5008614,0,1,176.8762306,177.9105364,175.3546077,176.0408298,5008614
4/19/2018,179.5,179.7,175.77,177.08,5406945,0,1,178.5171965,178.7161014,174.8076191,176.1104465,5406945
4/18/2018,175,180.25,174.99,179.85,5857809,0,1,174.041835,179.26309,174.0318898,178.8652801,5857809
4/17/2018,175.76,176.24,174.1,174.91,3106373,0,1,174.7976738,175.2750457,173.1467627,173.9523278,3106373
4/16/2018,174.23,175.6,173.32,174.43,3533856,0,1,173.2760509,174.6385499,172.3710334,173.4749559,3533856
4/13/2018,174.49,175.51,172.225,172.8,4310835,0,1,173.5346274,174.5490426,171.2820288,171.8538805,4310835
4/12/2018,173.31,174.24,172.9,173.36,3395356,0,1,172.3610881,173.2859962,171.953333,172.4108144,3395356
4/11/2018,172,175.06,171.8,172.86,3918874,0,1,171.0582607,174.1015065,170.8593557,171.913552,3918874
4/10/2018,174.03,174.1851,172.2352,173.49,4811408,0,1,173.077146,173.2313968,171.2921729,172.5401026,4811408
4/9/2018,175.06,175.35,172.37,172.51,5079802,0,1,174.1015065,174.3899187,171.4262349,171.5654683,5079802
4/6/2018,177.98,178.52,173.35,174.45,5234342,0,1,177.0055188,177.5425622,172.4008691,173.4948464,5234342
4/5/2018,178,180.04,177.31,179.13,3796772,0,1,177.0254093,179.0542398,176.3391872,178.1492223,3796772
4/4/2018,170.8,177.84,170.4204,177.44,4756933,0,1,169.864831,176.8662853,169.4873094,176.4684754,4756933
4/3/2018,172.78,174.9385,172.43,173.76,5283087,0,1,171.83399,173.9806717,171.4859063,172.8086243,5283087
4/2/2018,177.15,177.69,170.42,172.9,7229319,0,1,176.1800633,176.7171066,169.4869115,171.953333,7229319
3/29/2018,175.7,178.64,175.5,178.24,4423526,0,1,174.7380023,177.6619052,174.5390974,177.2640953,4423526
3/28/2018,175.24,177.53,173.92,174.76,4318636,0,1,174.2805209,176.5579827,172.9677482,173.8031491,4318636
3/27/2018,177.38,178.73,173.6,174.68,4713911,0,1,176.408804,177.7514124,172.6495003,173.7235871,4713911
3/26/2018,174.11,176.8,173.515,176.38,7323601,0,1,173.156708,175.8319796,172.5649657,175.4142792,7323601
3/23/2018,176.24,177.56,171.56,171.8,6021266,0,1,175.2750457,176.5878184,170.6206698,170.8593557,6021266
3/22/2018,177.42,178.56,175.08,175.29,5255092,0,1,176.4485849,177.5823432,174.121397,174.3302472,5255092
3/21/2018,178.35,180.14,177.68,178.02,3494433,0,1,177.373493,179.1536923,176.7071614,177.0452998,3494433
3/20/2018,177.64,178.8883,177.16,178.16,4148338,0,1,176.6673804,177.9088457,176.1900085,177.1845333,4148338
3/19/2018,178.65,179.32,176,177.1,4744511,0,1,177.6718504,178.338182,175.0363598,176.130337,4744511
3/16/2018,178.43,180.4,177.97,178.96,8410919,0,1,177.453055,179.4122688,176.9955736,177.9801531,8410919
3/15/2018,177.69,179.86,176.72,178.07,3936650,0,1,176.7171066,178.8752254,175.7524176,177.095026,3936650
