Date,Value
2018-04-30,1582.0
2018-03-31,1582.0
2018-02-28,1581.0
2018-01-31,1585.0
2017-12-31,1603.0
2017-11-30,1624.0
2017-10-31,1640.0
2017-09-30,1637.0
2017-08-31,1619.0
2017-07-31,1589.0
2017-06-30,1571.0
2017-05-31,1565.0
2017-04-30,1577.0
2017-03-31,1587.0
2017-02-28,1596.0
2017-01-31,1594.0
2016-12-31,1587.0
2016-11-30,1581.0
2016-10-31,1578.0
2016-09-30,1581.0
2016-08-31,1585.0
2016-07-31,1589.0
2016-06-30,1587.0
2016-05-31,1580.0
2016-04-30,1574.0
2016-03-31,1572.0
2016-02-29,1575.0
2016-01-31,1583.0
2015-12-31,1583.0
2015-11-30,1582.0
2015-10-31,1578.0
2015-09-30,1573.0
2015-08-31,1564.0
2015-07-31,1553.0
2015-06-30,1542.0
2015-05-31,1534.0
2015-04-30,1528.0
2015-03-31,1522.0
2015-02-28,1521.0
2015-01-31,1519.0
2014-12-31,1511.0
2014-11-30,1488.0
2014-10-31,1467.0
2014-09-30,1455.0
2014-08-31,1458.0
2014-07-31,1469.0
2014-06-30,1481.0
2014-05-31,1495.0
2014-04-30,1500.0
2014-03-31,1498.0
2014-02-28,1488.0
2014-01-31,1477.0
2013-12-31,1471.0
2013-11-30,1470.0
2013-10-31,1475.0
2013-09-30,1478.0
2013-08-31,1485.0
2013-07-31,1493.0
2013-06-30,1496.0
2013-05-31,1489.0
2013-04-30,1472.0
2013-03-31,1454.0
2013-02-28,1440.0
2013-01-31,1438.0
2012-12-31,1445.0
2012-11-30,1458.0
2012-10-31,1463.0
2012-09-30,1471.0
2012-08-31,1478.0
2012-07-31,1492.0
2012-06-30,1497.0
2012-05-31,1496.0
2012-04-30,1491.0
2012-03-31,1488.0
2012-02-29,1488.0
2012-01-31,1482.0
2011-12-31,1473.0
2011-11-30,1466.0
2011-10-31,1463.0
2011-09-30,1459.0
2011-08-31,1452.0
2011-07-31,1437.0
2011-06-30,1433.0
2011-05-31,1438.0
2011-04-30,1460.0
2011-03-31,1474.0
2011-02-28,1480.0
2011-01-31,1482.0
2010-12-31,1480.0
2010-11-30,1481.0
